측정년도,측정월,연령군,진료에피소드,미세먼지경보주의보
2016,01,0,6693,0
2016,01,1,3490,0
2016,01,2,2268,0
2016,01,3,7932,0
2016,01,4,3869,0
2016,01,5,2416,0
2016,02,0,6175,0
2016,02,1,3128,0
2016,02,2,2144,0
2016,02,3,7868,0
2016,02,4,3839,0
2016,02,5,2272,0
2016,03,0,7539,1
2016,03,1,3622,1
2016,03,2,2185,1
2016,03,3,8775,1
2016,03,4,4356,1
2016,03,5,2600,1
2016,04,0,6822,4
2016,04,1,3776,4
2016,04,2,2169,4
2016,04,3,8768,4
2016,04,4,4689,4
2016,04,5,2729,4
2016,05,0,7995,1
2016,05,1,3950,1
2016,05,2,2446,1
2016,05,3,9471,1
2016,05,4,5018,1
2016,05,5,2926,1
2016,06,0,7878,0
2016,06,1,3857,0
2016,06,2,2185,0
2016,06,3,9052,0
2016,06,4,4785,0
2016,06,5,2820,0
2016,07,0,6650,0
2016,07,1,4750,0
2016,07,2,2633,0
2016,07,3,9945,0
2016,07,4,4741,0
2016,07,5,2951,0
2016,08,0,6575,0
2016,08,1,5192,0
2016,08,2,3135,0
2016,08,3,11040,0
2016,08,4,5024,0
2016,08,5,3095,0
2016,09,0,6231,0
2016,09,1,3629,0
2016,09,2,1990,0
2016,09,3,8577,0
2016,09,4,4602,0
2016,09,5,2693,0
2016,10,0,5909,0
2016,10,1,3317,0
2016,10,2,2024,0
2016,10,3,8161,0
2016,10,4,4140,0
2016,10,5,2928,0
2016,11,0,5862,0
2016,11,1,3375,0
2016,11,2,1923,0
2016,11,3,8310,0
2016,11,4,4190,0
2016,11,5,2629,0
2016,12,0,5313,0
2016,12,1,3118,0
2016,12,2,1840,0
2016,12,3,8253,0
2016,12,4,4044,0
2016,12,5,2572,0
2017,01,0,6079,4
2017,01,1,3247,4
2017,01,2,2112,4
2017,01,3,7940,4
2017,01,4,3874,4
2017,01,5,2500,4
2017,02,0,6342,0
2017,02,1,3350,0
2017,02,2,2070,0
2017,02,3,8093,0
2017,02,4,3948,0
2017,02,5,2606,0
2017,03,0,7349,2
2017,03,1,3687,2
2017,03,2,1938,2
2017,03,3,8850,2
2017,03,4,4540,2
2017,03,5,2812,2
2017,04,0,6666,0
2017,04,1,3751,0
2017,04,2,2001,0
2017,04,3,8608,0
2017,04,4,4602,0
2017,04,5,2618,0
2017,05,0,7830,2
2017,05,1,4482,2
2017,05,2,2511,2
2017,05,3,9975,2
2017,05,4,5454,2
2017,05,5,3183,2
2017,06,0,7391,0
2017,06,1,3688,0
2017,06,2,2021,0
2017,06,3,9544,0
2017,06,4,5002,0
2017,06,5,3118,0
2017,07,0,6025,0
2017,07,1,5086,0
2017,07,2,2804,0
2017,07,3,10410,0
2017,07,4,5038,0
2017,07,5,3301,0
2017,08,0,5921,0
2017,08,1,4966,0
2017,08,2,2731,0
2017,08,3,10845,0
2017,08,4,5213,0
2017,08,5,3268,0
2017,09,0,5996,0
2017,09,1,4184,0
2017,09,2,2211,0
2017,09,3,9855,0
2017,09,4,5136,0
2017,09,5,3413,0
2017,10,0,5107,0
2017,10,1,3396,0
2017,10,2,1768,0
2017,10,3,7929,0
2017,10,4,4134,0
2017,10,5,2979,0
2017,11,0,5380,0
2017,11,1,3701,0
2017,11,2,1848,0
2017,11,3,8489,0
2017,11,4,4435,0
2017,11,5,3053,0
2017,12,0,4945,3
2017,12,1,3358,3
2017,12,2,1730,3
2017,12,3,8172,3
2017,12,4,4061,3
2017,12,5,2756,3
2018,01,0,5369,3
2018,01,1,3486,3
2018,01,2,2085,3
2018,01,3,8666,3
2018,01,4,4160,3
2018,01,5,2798,3
2018,02,0,5549,3
2018,02,1,3324,3
2018,02,2,1878,3
2018,02,3,7874,3
2018,02,4,3835,3
2018,02,5,2685,3
2018,03,0,6207,2
2018,03,1,3452,2
2018,03,2,1857,2
2018,03,3,9156,2
2018,03,4,4605,2
2018,03,5,3004,2
2018,04,0,6255,7
2018,04,1,3970,7
2018,04,2,2052,7
2018,04,3,9409,7
2018,04,4,4767,7
2018,04,5,3020,7
2018,05,0,6338,0
2018,05,1,3962,0
2018,05,2,2322,0
2018,05,3,9917,0
2018,05,4,5174,0
2018,05,5,3219,0
2018,06,0,6498,0
2018,06,1,3892,0
2018,06,2,2116,0
2018,06,3,10453,0
2018,06,4,5086,0
2018,06,5,3261,0
2018,07,0,5837,0
2018,07,1,4947,0
2018,07,2,2837,0
2018,07,3,11924,0
2018,07,4,5502,0
2018,07,5,3708,0
2018,08,0,5209,0
2018,08,1,4532,0
2018,08,2,2578,0
2018,08,3,10726,0
2018,08,4,5250,0
2018,08,5,3372,0
2018,09,0,5329,0
2018,09,1,3613,0
2018,09,2,1826,0
2018,09,3,9066,0
2018,09,4,4476,0
2018,09,5,2908,0
2018,10,0,5392,0
2018,10,1,3869,0
2018,10,2,2033,0
2018,10,3,9512,0
2018,10,4,4884,0
2018,10,5,3639,0
2018,11,0,4812,2
2018,11,1,3223,2
2018,11,2,1728,2
2018,11,3,8881,2
2018,11,4,4474,2
2018,11,5,3007,2
2018,12,0,5047,1
2018,12,1,3495,1
2018,12,2,1766,1
2018,12,3,9313,1
2018,12,4,4581,1
2018,12,5,3041,1
2019,01,0,5641,11
2019,01,1,3629,11
2019,01,2,2147,11
2019,01,3,9699,11
2019,01,4,4528,11
2019,01,5,3213,11
2019,02,0,5250,3
2019,02,1,3168,3
2019,02,2,1934,3
2019,02,3,8653,3
2019,02,4,4164,3
2019,02,5,2774,3
2019,03,0,5964,11
2019,03,1,3321,11
2019,03,2,1815,11
2019,03,3,9271,11
2019,03,4,4597,11
2019,03,5,2947,11
2019,04,0,5982,2
2019,04,1,3933,2
2019,04,2,1962,2
2019,04,3,10143,2
2019,04,4,5403,2
2019,04,5,3415,2
2019,05,0,7027,1
2019,05,1,4380,1
2019,05,2,2418,1
2019,05,3,11419,1
2019,05,4,6000,1
2019,05,5,3730,1
2019,06,0,5920,0
2019,06,1,3464,0
2019,06,2,1759,0
2019,06,3,9727,0
2019,06,4,4842,0
2019,06,5,3166,0
2019,07,0,5649,0
2019,07,1,4531,0
2019,07,2,2431,0
2019,07,3,11601,0
2019,07,4,5378,0
2019,07,5,3776,0
2019,08,0,5424,0
2019,08,1,4762,0
2019,08,2,2698,0
2019,08,3,11965,0
2019,08,4,5549,0
2019,08,5,3683,0
2019,09,0,5595,0
2019,09,1,3672,0
2019,09,2,1999,0
2019,09,3,10550,0
2019,09,4,5058,0
2019,09,5,3518,0
2019,10,0,5074,1
2019,10,1,3695,1
2019,10,2,2077,1
2019,10,3,10401,1
2019,10,4,5163,1
2019,10,5,3674,1
2019,11,0,4766,2
2019,11,1,3348,2
2019,11,2,1869,2
2019,11,3,9844,2
2019,11,4,4649,2
2019,11,5,3355,2
2019,12,0,4668,2
2019,12,1,3237,2
2019,12,2,1831,2
2019,12,3,9775,2
2019,12,4,4579,2
2019,12,5,3320,2
2020,01,0,4725,0
2020,01,1,3203,0
2020,01,2,2058,0
2020,01,3,10007,0
2020,01,4,4660,0
2020,01,5,3170,0
2020,02,0,4113,4
2020,02,1,2650,4
2020,02,2,1694,4
2020,02,3,9164,4
2020,02,4,4027,4
2020,02,5,2862,4
2020,03,0,5030,0
2020,03,1,2899,0
2020,03,2,1948,0
2020,03,3,9745,0
2020,03,4,4470,0
2020,03,5,3106,0
2020,04,0,6490,1
2020,04,1,3693,1
2020,04,2,2034,1
2020,04,3,10467,1
2020,04,4,4915,1
2020,04,5,3338,1
2020,05,0,6837,1
2020,05,1,4029,1
2020,05,2,2401,1
2020,05,3,11425,1
2020,05,4,5586,1
2020,05,5,3541,1
2020,06,0,6574,0
2020,06,1,4024,0
2020,06,2,2292,0
2020,06,3,12144,0
2020,06,4,5805,0
2020,06,5,3838,0
2020,07,0,4822,0
2020,07,1,3841,0
2020,07,2,2028,0
2020,07,3,11436,0
2020,07,4,5141,0
2020,07,5,3660,0
2020,08,0,4619,0
2020,08,1,4172,0
2020,08,2,2605,0
2020,08,3,12527,0
2020,08,4,5331,0
2020,08,5,3620,0
2020,09,0,5786,0
2020,09,1,4360,0
2020,09,2,2546,0
2020,09,3,12758,0
2020,09,4,5422,0
2020,09,5,3648,0
2020,10,0,5855,1
2020,10,1,3981,1
2020,10,2,2406,1
2020,10,3,11359,1
2020,10,4,4976,1
2020,10,5,3583,1
2020,11,0,4763,1
2020,11,1,3242,1
2020,11,2,1776,1
2020,11,3,10609,1
2020,11,4,4561,1
2020,11,5,3097,1
2020,12,0,5055,1
2020,12,1,3245,1
2020,12,2,1949,1
2020,12,3,11181,1
2020,12,4,4797,1
2020,12,5,3223,1
2021,01,0,5186,1
2021,01,1,3262,1
2021,01,2,1971,1
2021,01,3,10042,1
2021,01,4,4114,1
2021,01,5,2759,1
2021,02,0,5421,3
2021,02,1,3136,3
2021,02,2,2017,3
2021,02,3,9727,3
2021,02,4,3975,3
2021,02,5,2724,3
2021,03,0,5950,11
2021,03,1,3248,11
2021,03,2,1758,11
2021,03,3,11578,11
2021,03,4,4939,11
2021,03,5,3417,11
2021,04,0,5791,1
2021,04,1,4146,1
2021,04,2,2017,1
2021,04,3,12015,1
2021,04,4,5234,1
2021,04,5,3275,1
2021,05,0,5292,15
2021,05,1,3004,15
2021,05,2,2117,15
2021,05,3,11059,15
2021,05,4,4967,15
2021,05,5,3279,15
2021,06,0,5642,0
2021,06,1,3627,0
2021,06,2,1956,0
2021,06,3,12594,0
2021,06,4,5853,0
2021,06,5,3869,0
2021,07,0,4728,0
2021,07,1,4210,0
2021,07,2,2636,0
2021,07,3,13308,0
2021,07,4,5903,0
2021,07,5,3825,0
2021,08,0,4669,0
2021,08,1,3870,0
2021,08,2,2284,0
2021,08,3,12313,0
2021,08,4,5483,0
2021,08,5,3826,0
2021,09,0,5407,0
2021,09,1,3784,0
2021,09,2,2030,0
2021,09,3,12504,0
2021,09,4,5589,0
2021,09,5,3712,0
2021,10,0,5248,0
2021,10,1,3767,0
2021,10,2,2175,0
2021,10,3,12326,0
2021,10,4,5341,0
2021,10,5,3848,0
2021,11,0,4322,2
2021,11,1,3278,2
2021,11,2,2027,2
2021,11,3,11584,2
2021,11,4,4991,2
2021,11,5,3439,2
2021,12,0,4815,1
2021,12,1,3158,1
2021,12,2,1935,1
2021,12,3,12071,1
2021,12,4,5064,1
2021,12,5,3545,1
